medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
2BC063B43DF0100263778AABE4A65137,F699857E25E195AFEEC30D98EE9A8D0C,CMT,1,N,2013-08-30 19:25:44,2013-08-30 19:42:29,3,1005,2.70,-73.976784,40.75787,-74.007706,40.740696
BF83D10B5B533443A5EB753B11C5262D,B6C0C0CC830FBB5C59E908A806EB184E,CMT,1,N,2013-08-27 08:58:38,2013-08-27 08:59:43,1,65,.30,-73.983398,40.75555,-73.980484,40.760384
CA8DFBC7AF031CBABDD5A592DFB2741C,3C9179450CD0C023C36D35033062D894,CMT,1,N,2013-08-30 16:01:02,2013-08-30 16:16:20,3,918,2.70,-73.986916,40.750221,-73.988914,40.72929
AAB230C25ED215118874E0B3F3ACF268,9632B0B945A8281822D1D0D1E9E6431A,CMT,1,N,2013-08-29 20:41:00,2013-08-29 20:46:42,1,341,.70,-73.992455,40.731239,-73.983421,40.728485
6B744CE7D56C2A338B8E3E718E611D2E,6640639445B8144784927AB27661DE09,CMT,1,N,2013-08-28 21:15:27,2013-08-28 21:22:49,2,441,1.00,-73.988914,40.760258,-73.991692,40.748863
4EC66A306E69E2A9514E8A7F177E2F7C,1889AB24B45BE47DFEF8E4522FC1F906,CMT,1,N,2013-08-27 00:30:48,2013-08-27 00:35:08,1,259,1.00,-73.964127,40.771046,-73.956894,40.783527
1A575E39B0D761E6496F002F79E34D19,D5D8C5B421487585C060AAFDCAE21A4B,CMT,1,N,2013-08-30 18:54:47,2013-08-30 18:59:44,1,296,1.70,-73.964264,40.79747,-73.981392,40.779427
3B0E8DC736D1E0D35C698D7B0BF9CBFA,A48537FA22D264E395F167E9A6636AAF,CMT,1,N,2013-08-31 13:27:04,2013-08-31 13:52:39,2,1535,5.70,-74.016075,40.711193,-73.972809,40.762112
22E1352DD960E204657DDF614570578A,8E676702235D9B01621D1C722D6014EB,CMT,1,N,2013-08-30 20:04:20,2013-08-30 20:07:06,2,166,.50,-73.967766,40.793064,-73.967766,40.793064
69FB5FB096BE98EBAD2346D98BAFA3AB,69F224E7F2DA8536BB3FDBC9E57C597E,CMT,1,N,2013-08-29 00:50:40,2013-08-29 01:01:41,1,660,4.80,-73.992249,40.715126,-73.960884,40.760731
CA8DFBC7AF031CBABDD5A592DFB2741C,3C9179450CD0C023C36D35033062D894,CMT,1,N,2013-08-31 15:20:56,2013-08-31 15:32:27,4,691,2.10,-74.007576,40.740894,-73.99192,40.74519
F9E0A24870A77B6A347303BD68BF3081,DB53A4999C7108CB1F81AB67BB70CA46,CMT,1,N,2013-08-30 22:36:36,2013-08-30 22:53:33,1,1016,6.70,-73.936157,40.851559,-73.918327,40.769981
EDDB020BAD53D588266A8E16A783BFB9,099F56F138592B324C03B4DDEB6100EF,CMT,1,N,2013-08-26 20:02:00,2013-08-26 20:03:51,1,110,.60,-73.969566,40.75993,-73.975441,40.752472
1F853ACD16D9788363C0813359D4261E,DFD3537E1D15136688E1577818C534FC,CMT,2,Y,2013-08-26 09:07:33,2013-08-26 09:46:04,1,2311,17.80,-74.001968,40.746822,-73.783165,40.643829
6D49E494913752B75B2685E0019FF3D5,3F0BFE90A5D71741840B25600A89E225,CMT,1,N,2013-08-27 08:27:01,2013-08-27 08:30:40,1,218,.70,-73.967484,40.766109,-73.963463,40.774433
12842495074E45A2BDB93613AEBE05F3,E856E630A472B79E379C9A08F988255C,CMT,1,N,2013-08-30 07:19:19,2013-08-30 07:28:12,1,533,1.90,-73.984886,40.724373,-74.005676,40.706352
9F01DA0990CE5185BE8AED650BA38CB8,7053899AD12AC17F8266CD99F2B7AE30,CMT,1,N,2013-08-30 22:42:44,2013-08-30 22:56:25,2,821,2.60,-73.983948,40.750137,-74.001022,40.717846
54C676B0DE58AF5C765D1BB8226295A6,E1A451EAFEA39A9DE5C927C4EFAF6C2C,CMT,1,N,2013-08-31 23:34:13,2013-08-31 23:43:59,1,585,5.10,-73.988853,40.719246,-73.917274,40.740841
54C676B0DE58AF5C765D1BB8226295A6,E1A451EAFEA39A9DE5C927C4EFAF6C2C,CMT,1,N,2013-08-31 00:16:07,2013-08-31 00:20:54,1,287,1.00,-73.980003,40.745922,-73.993004,40.741245
D7B7F872E15B08447C190C886333CB70,6D658F720DED7DD88EBE8B49D7FBCC5D,CMT,1,N,2013-08-26 15:37:22,2013-08-26 15:43:24,1,361,1.50,-73.977142,40.756901,-73.961868,40.776669
3B0E8DC736D1E0D35C698D7B0BF9CBFA,A48537FA22D264E395F167E9A6636AAF,CMT,1,N,2013-08-29 10:43:43,2013-08-29 10:57:20,1,817,2.10,-73.982544,40.750988,-73.96051,40.771454
70B42AB8C1D6435F7B3B725FD165AFE6,1FDC5864FEEFBAB992E06D0D043DF30E,CMT,1,N,2013-08-30 00:44:19,2013-08-30 01:00:31,1,972,3.00,-74.006424,40.743786,-73.969978,40.757164
57A63E815A54CD2D6FF73A1D24B89BFE,E72BB754FA1871ADE846FB0A21C7BF64,CMT,1,N,2013-08-30 08:03:43,2013-08-30 08:14:38,1,654,1.60,-73.993301,40.736572,-73.974579,40.736198
4CA0195D05D0D58E0CDB362643AB84DF,EA95E231F8841E084CCFD5CAE39C4337,CMT,1,N,2013-08-28 13:07:27,2013-08-28 13:22:57,1,929,1.20,-73.993599,40.74176,-73.978828,40.752609
4CA0195D05D0D58E0CDB362643AB84DF,DFFCA97D67E9360CFE0B0735D55D855F,CMT,1,N,2013-08-28 18:22:57,2013-08-28 18:34:00,1,662,1.30,-73.978165,40.729523,-73.998955,40.734444
51A32C7DFEAE66C01B83A8498A682699,34DA5240FE7F5F7B91EFCA8ED0AE7404,CMT,1,N,2013-08-30 04:53:06,2013-08-30 05:14:01,1,1255,9.60,-73.951454,40.770012,-73.872002,40.774326
EDDB020BAD53D588266A8E16A783BFB9,ABFC6214B70F944217BFFF3D2323C80F,CMT,1,N,2013-08-27 11:24:27,2013-08-27 11:45:20,2,1253,4.00,-73.976379,40.739529,-73.982368,40.779839
506DF1356EA4AAA9DE38EE3103CDAAF9,F8D1F859F573158330CB14B55F08725B,CMT,1,N,2013-08-28 06:40:49,2013-08-28 06:45:42,2,292,1.00,-73.981956,40.772812,-73.965019,40.765797
FE637677F22C46050FCEC4E93E8ABACF,6BC1B2A73B91C14D68644EED9AAE6A7A,CMT,1,N,2013-08-30 21:19:35,2013-08-30 21:26:40,3,424,1.20,-73.989342,40.74781,-73.9972,40.760448
6D49E494913752B75B2685E0019FF3D5,7281CC90DBD48ACC900478DD0CAA9679,CMT,1,N,2013-08-30 17:07:32,2013-08-30 17:26:40,1,1148,6.70,-73.973953,40.642941,-74.002373,40.725204
D0C05A4F8FC2023F2A37DDA1AFBE26CF,CC95E4EBED76D44E58484EBD1A560E5E,CMT,1,N,2013-08-31 20:45:07,2013-08-31 20:56:15,1,668,1.60,-73.978897,40.752487,-73.980392,40.764915
FE637677F22C46050FCEC4E93E8ABACF,6BC1B2A73B91C14D68644EED9AAE6A7A,CMT,1,N,2013-08-30 23:37:01,2013-08-30 23:42:42,4,340,1.00,-74.000191,40.721153,-74.006248,40.710117
073E554D0345EFB08A9FE38C61AD2335,CA784439730B9A9D0C5418D945976F8B,CMT,1,N,2013-08-28 12:06:05,2013-08-28 12:11:11,1,305,.90,-73.974716,40.783192,-73.982346,40.771843
22E1352DD960E204657DDF614570578A,DB10483B86F53654F64F91181C587550,CMT,1,N,2013-08-29 17:05:35,2013-08-29 17:08:07,2,151,.70,-73.990173,40.756126,-73.983612,40.765976
BCF1C6D7A4822EFEEDC9DF4A465A09D4,DDCB586799F053D465FD5ED17723413A,CMT,1,N,2013-08-27 07:12:52,2013-08-27 07:20:19,1,447,2.40,-73.952667,40.781265,-73.977165,40.758564
12842495074E45A2BDB93613AEBE05F3,E856E630A472B79E379C9A08F988255C,CMT,1,N,2013-08-30 06:29:59,2013-08-30 06:40:58,1,658,2.80,-73.979568,40.732822,-74.011284,40.708214
4F6A604D060A9F19529B0854517C323C,961E6DEB56619E6EBD9D124AF1865915,CMT,1,N,2013-08-30 18:12:35,2013-08-30 18:15:35,2,179,.50,-73.993454,40.745274,-73.989571,40.739662
4CA0195D05D0D58E0CDB362643AB84DF,DFFCA97D67E9360CFE0B0735D55D855F,CMT,1,N,2013-08-28 21:01:47,2013-08-28 21:24:45,1,1378,12.70,-73.983299,40.750557,-74.025024,40.619759
1A6E8F6EEBC37865EB2A2DAA1ECA6B94,C48A3693C471C16515783290792F37AF,CMT,1,N,2013-08-27 23:08:23,2013-08-27 23:19:49,1,685,2.40,-73.994156,40.751083,-73.96199,40.755512
506DF1356EA4AAA9DE38EE3103CDAAF9,EBE5414C3D3E4DC06885874F0022917A,CMT,1,N,2013-08-28 00:53:41,2013-08-28 00:57:34,1,233,.70,-73.995163,40.725014,-73.986397,40.719486
FE637677F22C46050FCEC4E93E8ABACF,BED898A71B26EE01C6DDA86DE35EA2EB,CMT,1,N,2013-08-27 11:48:39,2013-08-27 11:53:12,1,272,.80,-73.982399,40.731434,-73.975159,40.741333
244FB25A3C83E7DDBDBEA382C64964B1,14C016D3A53B29099263954E9372EA26,CMT,2,N,2013-08-31 12:06:13,2013-08-31 12:40:33,1,2059,18.00,-73.782593,40.64455,-73.988052,40.756618
EB21592CE6D70E55B25A9A80B44761C3,9486785728BC8131E46CD6D32AF04862,CMT,2,N,2013-08-30 18:38:15,2013-08-30 19:13:07,1,2091,18.60,-73.781502,40.644886,-73.978317,40.726948
506DF1356EA4AAA9DE38EE3103CDAAF9,EBE5414C3D3E4DC06885874F0022917A,CMT,1,N,2013-08-27 21:58:44,2013-08-27 22:04:12,1,327,.70,-73.953415,40.767574,-73.952744,40.775822
6D49E494913752B75B2685E0019FF3D5,3F0BFE90A5D71741840B25600A89E225,CMT,1,N,2013-08-28 08:16:26,2013-08-28 08:22:08,1,342,1.20,-73.995438,40.734436,-73.992935,40.747952
12842495074E45A2BDB93613AEBE05F3,E856E630A472B79E379C9A08F988255C,CMT,1,N,2013-08-28 13:03:23,2013-08-28 13:11:18,1,474,1.30,-73.97583,40.786293,-73.970161,40.796829
71B905F2B0009A23C5027CC254E6174B,ED031621E73954494FEDBA2185CC5A5C,CMT,1,N,2013-08-31 00:17:04,2013-08-31 00:34:07,1,1022,1.80,-73.992538,40.75658,-74.007629,40.74017
7E774AA3143A39C60C04522E849BEECB,AB48B77F619D074DB5BDD10BDE7A4CAB,CMT,1,N,2013-08-30 18:46:57,2013-08-30 18:55:31,2,513,1.00,-73.983131,40.769356,-73.986298,40.75919
469F250223E3C6B213079BDC116DA38A,D2A9E111A970CBD4E2EA911D3BC55EA1,CMT,1,N,2013-08-29 16:59:01,2013-08-29 17:02:46,1,224,.60,-73.979591,40.752693,-73.972176,40.756634
1258CA1DF5E2A9E9A9F7848408A7AAEB,8ED700AFCB22F6AC10519B779AA7DF44,CMT,1,N,2013-08-30 00:00:27,2013-08-30 00:10:20,1,592,1.70,-73.983871,40.737843,-73.991203,40.755253
12842495074E45A2BDB93613AEBE05F3,E856E630A472B79E379C9A08F988255C,CMT,1,N,2013-08-30 11:43:32,2013-08-30 11:50:39,1,427,.90,-73.987656,40.750175,-73.985558,40.74424
22E1352DD960E204657DDF614570578A,8E676702235D9B01621D1C722D6014EB,CMT,1,N,2013-08-28 19:17:45,2013-08-28 19:30:24,1,758,1.10,-73.9617,40.768806,-73.971909,40.762901
D0C05A4F8FC2023F2A37DDA1AFBE26CF,6F3634C16655327D7A3C4BFFB534D9AB,CMT,1,N,2013-08-30 12:38:26,2013-08-30 12:53:17,1,891,7.70,-74.006287,40.70631,-73.948517,40.780792
EDDB020BAD53D588266A8E16A783BFB9,ABFC6214B70F944217BFFF3D2323C80F,CMT,1,N,2013-08-27 08:59:12,2013-08-27 09:20:21,3,1268,7.80,-73.99437,40.719299,-73.962021,40.779331
AAB230C25ED215118874E0B3F3ACF268,3F2D0EBC454152AA03FF1129043BCEA2,CMT,1,N,2013-08-29 13:22:14,2013-08-29 13:30:44,1,509,1.30,-73.963051,40.769234,-73.975021,40.751858
BCF1C6D7A4822EFEEDC9DF4A465A09D4,016F42C9FF81459FC333817967CA8CDD,CMT,1,N,2013-08-26 17:56:57,2013-08-26 18:17:14,1,1217,3.20,-73.958351,40.775749,-73.988823,40.736729
0623A7C9C8D5348CCD6E441E6161FE19,84B982BE5996AD790C61503B713E9479,CMT,1,N,2013-08-26 17:16:18,2013-08-26 17:32:01,1,943,1.80,-73.990486,40.737148,-73.978172,40.748543
506DF1356EA4AAA9DE38EE3103CDAAF9,EBE5414C3D3E4DC06885874F0022917A,CMT,1,N,2013-08-27 23:58:35,2013-08-28 00:17:21,1,1126,4.60,-73.982452,40.759106,-74.014618,40.70359
2683C4572D2006A6C542829617FB2D46,6EC98607421F9B97B040DC874012027A,CMT,1,N,2013-08-30 17:41:31,2013-08-30 17:44:31,1,180,.80,-73.960121,40.813507,-73.963715,40.80341
FE0B0ED2B86356C4282FC4454B56EAEE,8477CD3EFEEE081517015FB7B16EBE20,CMT,1,N,2013-08-28 23:07:53,2013-08-28 23:11:28,2,214,.70,-73.970741,40.75317,-73.972481,40.745502
69FB5FB096BE98EBAD2346D98BAFA3AB,69F224E7F2DA8536BB3FDBC9E57C597E,CMT,1,N,2013-08-30 17:43:32,2013-08-30 18:19:08,2,2135,16.10,-73.788399,40.647457,-73.934639,40.751961
FE637677F22C46050FCEC4E93E8ABACF,6BC1B2A73B91C14D68644EED9AAE6A7A,CMT,1,N,2013-08-30 18:41:51,2013-08-30 18:48:29,1,397,2.50,-73.986542,40.761967,-73.967567,40.792316
5B7BD45C75D08471EC465274DC408146,9703DDF9857D76DD31DC05CFBF4597C5,CMT,1,N,2013-08-27 12:02:42,2013-08-27 12:11:19,4,517,.60,-73.99514,40.749695,-73.989456,40.757565
ADD8896B6549A3E342A236B0481A054F,35C4F3C945FF19FFF5676ED99C1BE4E9,CMT,1,N,2013-08-31 01:01:50,2013-08-31 01:10:01,1,491,3.40,-73.984474,40.736942,-73.953369,40.776783
FE637677F22C46050FCEC4E93E8ABACF,BED898A71B26EE01C6DDA86DE35EA2EB,CMT,1,N,2013-08-29 16:04:58,2013-08-29 16:22:51,1,1073,3.60,-74.0084,40.711651,-73.994225,40.750954
9F01DA0990CE5185BE8AED650BA38CB8,7053899AD12AC17F8266CD99F2B7AE30,CMT,1,N,2013-08-30 20:40:47,2013-08-30 20:44:28,1,221,.70,-74.004829,40.751987,-73.999069,40.745522
7E774AA3143A39C60C04522E849BEECB,6BF41E82EE3DC8D1EF2A85904C34321A,CMT,1,N,2013-08-29 13:28:55,2013-08-29 13:45:03,1,968,1.90,-73.988396,40.738792,-73.979591,40.760937
23A0B31A77630CC676BFF26290B7B8A6,ECC14B41E2A0DA73C7582D014C5823EE,CMT,1,N,2013-08-28 10:26:48,2013-08-28 10:32:24,1,336,1.10,-73.979515,40.754963,-73.990623,40.742298
3B0E8DC736D1E0D35C698D7B0BF9CBFA,A48537FA22D264E395F167E9A6636AAF,CMT,1,N,2013-08-31 13:57:53,2013-08-31 14:06:59,1,546,1.40,-73.975143,40.754593,-73.986679,40.740196
BB7AB03C26A0D97D1A1E3BA84160D7A7,EDF4D56435524ED1FBC8EC5D46391716,CMT,1,N,2013-08-30 11:03:40,2013-08-30 11:14:27,1,646,1.00,-73.989777,40.741673,-73.982414,40.748066
